scenario,demand_twh,nuclear_mw,national_avg_price,nuclear_cf,nuclear_prod_twh_yr,net_export_twh_yr,price_NO1,price_NO2,price_NO3,price_NO4,price_NO5,sat_NorNed,sat_Skagerrak,sat_North Sea Link,sat_NordLink,sat_NO1-SE3_5,sat_NO1-SE3_7,sat_NO3-SE2_4,sat_NO4-SE1_1,sat_NO4-SE2_1,sat_NO4-FI_1
BL_MD,208,0,101.74,,0.0,1.05,222.74,71.75,104.99,28.36,80.86,54.38,53.33,85.28,34.12,0.31,7.14,0.5,0.27,0.0,78.85
SMR_NTC_MD,208,9300,43.59,0.6829,55.67,42.45,103.82,24.47,39.97,13.55,36.13,77.1,90.75,97.43,87.44,0.89,68.03,7.16,5.85,0.0,94.25
BL_IC,230,0,182.03,,0.0,-15.93,332.44,77.64,227.18,102.23,170.65,50.13,41.79,79.77,32.6,0.47,4.94,0.0,0.0,0.0,45.32
SMR_NTC_IC,230,9300,63.47,0.7655,62.41,35.64,142.83,26.64,66.66,17.15,64.08,75.36,88.11,96.53,84.36,0.87,53.3,1.96,3.52,0.0,89.14
